delivery_id,order_id,delivery_type,dispatched_date,delivered_date,delivery_status,delivery_cost
51528007675,01HRVX0SX29QTZJM3TVWJYNBXY,Premium,2021-12-09,2021-12-13,Shipped,20.17
32217673180,01HRVX0VHWJVY1BB7VGQ5D6WNE,Premium,2020-12-08,2020-12-09,Delivered,40.95
69146571008,01HRVX0VWY5P74PBMBGKSZ43BA,Premium,2020-01-13,2020-01-16,Delivered,24.43
58513317188,01HRVX0VWZ367TSWRRKMTXZZXE,Premium,2022-06-10,2022-06-11,Pending,27.24
99675835426,01HRVX0VX0XSPQRP0A2CBCSK68,Premium,2021-05-10,2021-05-12,Shipped,26.7
13285427986,01HRVX0VX0K8RSG9VGDQVJ528X,Premium,2022-07-11,2022-07-12,Delivered,36.11
56291032986,01HRVX0VX13MCMCB61E191ZGJP,Standard,2020-06-09,2020-06-12,Shipped,7.74
10950605910,01HRVX0VX2ZWVVBX9K2VY87EY7,Premium,2020-08-19,2020-08-21,Delivered,45.78
67742148886,01HRVX0VX3MQYGQNTDZR94W3AQ,Premium,2021-10-27,2021-10-30,Delivered,22.92
86104598800,01HRVX0VX47P4J35GKZRFC10B5,Premium,2023-10-26,2023-10-29,Pending,31.45
83170815564,01HRVX0VX5TBT5BABZGR6H6F41,Premium,2022-12-07,2022-12-11,Pending,29.76
66286742443,01HRVX0VX66MMQQPXT2ABSWN64,Standard,2021-12-17,2021-12-20,Delivered,7.62
59918532716,01HRVX0VX753HB7V6VWVQ05H6E,Standard,2020-04-19,2020-04-20,Pending,22.03
16494070901,01HRVX0VX8ZV1CNY3B19VFT1XV,Standard,2022-04-27,2022-05-01,Shipped,17.26
14173539136,01HRVX0VX9CPGDJ0DP476KWR2V,Premium,2023-01-04,2023-01-08,Pending,6.12
23896929914,01HRVX0VX96S2EM6KD58NQGCZJ,Standard,2020-12-13,2020-12-16,Shipped,18.71
71858780303,01HRVX0VXAPA1FR8D4EG2BFC4P,Standard,2021-01-11,2021-01-14,Shipped,9.97
97095866177,01HRVX0VXB77AM136K3GQ145S3,Premium,2021-01-08,2021-01-09,Pending,24.79
26166472870,01HRVX0VXCKVKQKCYRG9MN4N4G,Premium,2023-01-07,2023-01-10,Delivered,30.64
61243261348,01HRVX0VXDDJXW0T5PBVX88Q55,Standard,2021-10-18,2021-10-20,Pending,33.17
42093257930,01HRVX0VXE38SMDJ3P730CQA4D,Standard,2023-11-27,2023-12-01,Delivered,13.56
93634417475,01HRVX0VXFD5G1RNTG3DZP7FSM,Standard,2022-10-22,2022-10-23,Shipped,15.55
12210616132,01HRVX0VXFYZ0DR6GQHCQQCVJZ,Premium,2023-05-28,2023-05-29,Pending,11.51
25155299291,01HRVX0VXGJF06JXS0GNZ7BNQP,Premium,2020-08-02,2020-08-05,Delivered,24.42
96247076894,01HRVX0VXH7XBAN7S56RKT5YSV,Standard,2020-07-18,2020-07-20,Delivered,38.09
13704622772,01HRVX0VXJDQHYXJM7DWMGP73F,Premium,2020-03-26,2020-03-27,Pending,28.31
19236530039,01HRVX0VXKJY7480E8JT72TY9F,Premium,2022-05-31,2022-06-04,Pending,39.71
11148456154,01HRVX0VXMRB29MWGCY8FZXTRC,Premium,2020-01-14,2020-01-16,Shipped,14.46
47223303912,01HRVX0VXMGM3N758P6BTC6EBD,Standard,2022-08-15,2022-08-17,Shipped,9.97
