order_id,product_id,quantity
01HRVX100ZM38TYQM967N9MZPK,113,4
01HRVX0YYWWR0VDGT4NXCX1ATH,264,4
01HRVX0VY5MF0FR56Y0GZ8S5CT,437,37
01HRVX103BMP1B5HG4A7KRFE7F,424,35
01HRVX1013BD07BNPCQYZNMQRP,280,34
01HRVX1014SRZ1YA77ZX7HJ3V9,488,13
01HRVX107C7WPVKYJ7VE6GR62D,121,20
01HRVX0W0CC40RKZ326J3ERJT1,937,12
01HRVX0VZD7QGTX61G0FWJ97CW,876,19
01HRVX104DS1S3WNWG8AQTBA01,571,41
01HRVX106HMR22C9TDJ0S7XMCH,29,32
01HRVX0VZGFT912ENAY2FKP9SP,789,9
01HRVX100XQ45P64ZVY6R6VPK7,873,6
01HRVX1029VY8QBFTRJA29X6R7,196,28
01HRVX0VX0K8RSG9VGDQVJ528X,941,13
01HRVX0VZKCZ4YK23SX56JDW1T,144,7
01HRVX10G50N600C5YJ3Q7571B,48,17
01HRVX0W7RY9DKA1470YZG7ZT0,542,12
01HRVX0W0BJCPJ2BYEB0CDMK3P,727,47
01HRVX10654TFX0PMCVGA9BRHZ,697,32
01HRVX0T4V41THFNCVZSWPJG0Z,721,41
01HRVX100R1R2ZQTEPFS1XMVN5,169,39
01HRVX104GBES4PGQMRVXZTSWK,845,14
01HRVX0VXZ6D1KCS7D6TKWZ7MA,290,30
01HRVX0VXWR7KMH8F6PAEF518Z,415,5
01HRVX0VZN9QA56XHEJ8Z4GK0Z,684,35
01HRVX10FZW1WJHK7GXXY6PABQ,222,14
01HRVX1049FD8SVRWC68JKTQMF,135,33
01HRVX0T2C7M0HRKH5P664R775,156,42
01HRVX0VXVJ8GJV5AH4A17MBCV,26,14
01HRVX10221Z9YH8837VQTYENW,856,39
01HRVX101DGPW9CY2JX4ADPZBM,384,11
01HRVX0Z0327D6B6B5TAWK3RMV,528,3
01HRVX0ZZP04XF7KS2490Q4Q7P,16,27
01HRVX0VYDGSHHZ7Z2AF19J9JK,325,30
01HRVX0ZZR6F7EEGANV79PQGRJ,537,38
01HRVX0VZG4KMJWBY31C47VN3P,730,18
01HRVX0VZS19A2H222M1Y6N636,59,1
01HRVX10129T40N0A5VY8M7BRJ,451,46
01HRVX1014X1Z1167AP2TC20K0,628,17
01HRVX104C99HBSWDA3JNWRAKB,126,9
01HRVX102Q7CTP74QT67JX0RX3,595,8
01HRVX0VXRRAYR6YHN1RNW8Z18,112,16
01HRVX0SX29QTZJM3TVWJYNBXY,668,28
01HRVX0VY4CAEN69NW8YH340AG,286,18
01HRVX101KBC64AZ06V72AFJEY,685,25
01HRVX1013BD07BNPCQYZNMQRP,801,4
01HRVX0VYEJKW4JPFQN0KXF1SA,853,7
01HRVX104RYKHKF5CYN7Y4EDCZ,866,49
01HRVX0W0DNS8QRR6SXJBHPNYS,770,1
01HRVX1014GMFC9CC186FNCM5P,897,9
01HRVX10G8QH4T5QEM9S71KPNB,166,27
01HRVX0VXY8ACJPC4TS5YT2PHE,682,29
01HRVX0VXT8RH75EM26KJFERHF,267,33
01HRVX104N2C1W62SHAS8KQ5PM,459,5
01HRVX104VWZ854NNNSSZKFSW7,287,39
01HRVX104GDR9QJAKXATQ46Q0F,112,25
01HRVX0VY7ESG2XMRHZDEDDHWP,675,45
01HRVX0VZ86NE8681D962FN7Z5,184,41
01HRVX0W7PWNFYN93WZBW0NS9J,921,45
01HRVX0W0SKGT28W5GR74J671R,350,35
01HRVX0VYQ0V0FSYSYNDYM78WN,619,7
01HRVX0ZZCRQMJM3Q4SH42QRYC,456,4
01HRVX1049EWVSHCJFN1QPDW92,238,37
01HRVX0VZ611TSW8TD5XFA8J8N,824,13
01HRVX0VZNTE17DZEGK0RN2ATF,244,48
01HRVX0VZCJPE7FE6HGQ25PMWX,948,29
01HRVX1008WQQBHRFRBTR801BV,315,26
01HRVX0W7P334AC2XW4QNCDB76,600,32
01HRVX11DFNMQMEFS5BWE5HA7Y,164,33
01HRVX107GZSWCPG0TEFWJT6HK,333,45
01HRVX10FM1E7WT4TS0GRRXTK8,219,20
01HRVX0W7PWNFYN93WZBW0NS9J,944,19
01HRVX104WZ7QTFWRADTDAX07X,441,11
01HRVX0ZZR6F7EEGANV79PQGRJ,604,43
01HRVX104MJ815RC5MNHS8R86F,763,11
01HRVX101MZ4DAKHB8VG293ZH2,303,26
01HRVX104E5CNAAEATDGVZC5FT,264,15
01HRVX0VXJDB64F1VB048ZMWAN,572,22
01HRVX107FMKWJ5YGBJATR6TJ6,660,42
01HRVX0VXT4RNZ390R5AKDNZNR,340,22
01HRVX10FQV9FYMCG8DRGPWCGK,463,21
01HRVX104FQ1M5MHP6V23NCRV6,404,17
01HRVX104ENG38QMA6FEEYD2SP,508,27
01HRVX0VXZYAZK9D1T48QD95VD,401,24
01HRVX0VYV1GVM3J5T0R3EP95P,709,14
01HRVX0VYCVK3B4ECCZSNHC93E,542,38
01HRVX104K38G41FFBQEMTZH7A,234,1
01HRVX100XQ45P64ZVY6R6VPK7,769,22
01HRVX100WK2H11Q79TR16TES0,838,27
01HRVX104NQD811HF9PJYY6GKE,577,2
01HRVX0T5EEGP3GH3A1CEP3X3C,42,5
01HRVX0VZKRJM6VFZA2VQA7TKH,573,39
01HRVX0VXYAF2N4ESWCMXRDBWJ,333,6
01HRVX106E2X1WSAV3C8FQZG75,773,46
01HRVX0VXGKC9Z9T6KHH4882KZ,113,4
01HRVX0VXTZQYMWB7MJXZW18Z7,86,34
01HRVX0W03KPF7HKBB2NPERCV4,230,21
01HRVX10129T40N0A5VY8M7BRJ,112,15
01HRVX100TD4AT4FP6KJX6S2XQ,636,25
01HRVX10813T8P07JAPZRKGCWV,357,31
01HRVX0ZS8XTFN2MZ12R9JPJXJ,860,10
01HRVX0VXH57B51QD17DMX0WJV,330,50
01HRVX101DGPW9CY2JX4ADPZBM,540,3
01HRVX0VY2GNE2DCJ8NGJZNP7J,482,24
01HRVX105ZACARNGGD19DYHW2W,538,45
01HRVX0Z0H9AFGTDNKETZQCTTS,903,18
01HRVX100Y54V9FZD7H03JEA5H,530,28
01HRVX0VYBTF9JW5Z7VZS4PRV2,75,21
01HRVX0VZVRK6TFW5ZM6HYK0ZG,353,34
01HRVX11DEGCJX4NDPAGSQ06BK,520,13
01HRVX100MR2YY7Q0RM0YSKFYG,437,4
01HRVX0VYEACM6GNMJKESC90SS,74,47
01HRVX0ZZGSR2J5V7EVH4WM41M,906,38
01HRVX0VY7FRKXGF4EE55ST6XV,469,27
01HRVX0ZYSMYZR627YGRB6T2H7,74,8
01HRVX0VYC7RKW3YZ3FNVA7W18,844,28
01HRVX0VZK1PR2S25BDDHKZ6H1,896,47
01HRVX10253HSS80SQ349MQ2CR,763,16
01HRVX1031N3W91WJ6MD5DG5ZN,95,4
01HRVX0ZYP6KM00CRF0RVJW012,3,31
01HRVX0VZKRJM6VFZA2VQA7TKH,195,43
01HRVX104S2W8AM1P1C35CB606,363,33
01HRVX0VZPVKV36MNFK42YQXCA,448,23
01HRVX104WZ7QTFWRADTDAX07X,72,8
01HRVX104ENG38QMA6FEEYD2SP,68,44
01HRVX103A8RNGJSE8G7PWYZ5B,252,25
01HRVX0VYW6XAKD3HA5X3JV1EE,935,45
01HRVX0VXTZQYMWB7MJXZW18Z7,263,39
01HRVX101PHDMRGH3YJPHAHK8Y,654,7
01HRVX101BV8VVYPCDZWV97BC4,258,28
01HRVX0VXKR5JJ83T52RNDB4SH,907,47
01HRVX10FQV9FYMCG8DRGPWCGK,179,39
01HRVX107PDPC4AVFV1MXQ4ZBS,542,47
01HRVX0VZAA1ETA60476RCDNQR,503,28
01HRVX104TZDBZGSCH0PY1PK6B,430,2
01HRVX0VZW4SCS1DWHJ11F3HY1,864,40
01HRVX0ZZS203D4TWGCZT6FJ3R,212,48
01HRVX0VXYZ1XYQG5GJY2EQA75,608,30
01HRVX100XQ45P64ZVY6R6VPK7,649,28
01HRVX1018DH7YN79662TX9HZG,69,48
01HRVX0W06DZFB2R0T50VEPA6P,794,11
01HRVX100VZA3TBZEK2CYYCPH5,783,8
01HRVX0VZJ7D8BSJ37Z016XMJT,23,48
01HRVX0VXMVD166F9J3FS52XTA,785,12
01HRVX101M7D1CXXCPBP1412GM,845,31
01HRVX0VY7FRKXGF4EE55ST6XV,538,20
01HRVX11DC22PXABWBSWASW25Q,47,18
01HRVX103E47DX9BNNX0X831VR,696,20
01HRVX0VYYPQHS81W8G91KYP00,721,19
01HRVX0VY84VMDQKV3DHM1ZFCQ,813,44
01HRVX0VZ7PGHN2ACTYDQRXTF9,494,28
01HRVX0VXRV43ZX6W4R2578X64,63,31
01HRVX0VMAYVP1ZRTFK8HPRQNV,346,14
01HRVX10G3W719N037JBRZE0P9,211,46
01HRVX0VXWX21RYB6XSQY14XDE,586,44
01HRVX0Z8YVAYD30Y16W0616NE,512,40
01HRVX0VYJ3JH9WK2EWK8F4YTD,579,16
01HRVX0ZZXZFV0W8NE96N6KMZY,177,27
01HRVX0SYYQ7NBYJY1FGE801R4,875,39
01HRVX0ZZR6F7EEGANV79PQGRJ,446,47
01HRVX1031N3W91WJ6MD5DG5ZN,380,15
01HRVX0VY90YBAY8BSN10SQWZ4,139,9
01HRVX0VMYDGVJKTP7YDJSKKV7,90,29
01HRVX0W04JZ90K2G8F013HTKZ,912,4
01HRVX100DG7RM110HV2V9CQWS,138,7
01HRVX0VYHM3VFR8DJDCG73XF7,405,12
01HRVX0ZZADC3ZHZKSKEFFGNB8,617,26
01HRVX101E2F09TE2FYJ3RBM1C,784,14
01HRVX0VXQ9XD5DCY7BT2W9W3Y,714,49
01HRVX0VYMA8PE7K4VCG8SQJ4K,745,12
01HRVX0VZEB1AZ45AJEP5J07MN,427,39
01HRVX0W0WGR2QB3EE1WAZ0EZ5,440,45
01HRVX0Z0N1EDB1YF3F7EV51HM,538,31
01HRVX101F63NNV3HRP2FTKA5K,669,20
01HRVX0VYEJKW4JPFQN0KXF1SA,134,38
01HRVX0W0175Y15BXP2NXHVANG,476,28
01HRVX0VZTP3H3JV1TQT4ZRB0V,878,41
01HRVX106C45B6E1291064YEV6,351,3
01HRVX10456AWF8GM3BS128ZBZ,189,43
01HRVX0VZM5GM1FNFXGFEYV4DV,246,26
01HRVX0VZFTZ85QEA28CRJYB1E,193,42
01HRVX106B4JDV3YJ62E70ESG6,481,29
01HRVX0VZHBJA7WE89RH4TRRAG,576,18
01HRVX0VZ08BJ7ACD80ES2GY4E,272,38
01HRVX0VZPE79QKGPN1K5BVP77,480,5
01HRVX0VXFWWFDFT9CGY1DZGA1,533,2
01HRVX0VXHE0C3ZG669FJXGG3E,632,39
01HRVX101VQZ1EA8XDKTEJ1PDN,264,8
01HRVX107V1BSXTJYNMPBAGWP0,64,36
01HRVX104YQX5Q3Q3FAWRR8GKZ,524,6
01HRVX0W0E5PJE0M18520FX2QY,319,47
01HRVX0VXAPA1FR8D4EG2BFC4P,856,37
01HRVX101XEQKSXYNWQMYQRJA2,549,1
01HRVX101CSJG5YKQ69YZ2FK2C,840,47
01HRVX11DJNAT3DFX0S8P0PD56,24,18
01HRVX0VY6P6E6CB9TVW17TWYK,179,32
01HRVX0VXGKC9Z9T6KHH4882KZ,502,41
01HRVX10FNAS2J0XR8NP3K9NPF,408,12
01HRVX101BV8VVYPCDZWV97BC4,550,50
01HRVX1050WS767RHYRJZTKHGT,266,29
01HRVX104MEMP7916JNWMJCVG1,303,30
01HRVX101MYP91VQM53Z1PH3NX,538,25
01HRVX0W0D7TWB0ARA3ESDB7NF,120,31
01HRVX102789T2WA9TBPB0M6ZR,397,49
01HRVX102J1XXC5R2537AJGG10,404,1
01HRVX0VY71VEF8HG0T8TMTYXZ,258,48
01HRVX11DGW6JSHWPAXKCEDZ1C,8,36
01HRVX0VXFYZ0DR6GQHCQQCVJZ,384,1
01HRVX104YERH68Q73MXNYMEE4,549,21
01HRVX102Q7CTP74QT67JX0RX3,124,16
01HRVX0W7KWJDR4TX02NGN0JVH,602,27
01HRVX0W07QR14JV7X6WX4FSQN,547,21
01HRVX1004B0F2DKBNADJVAMDG,388,3
01HRVX106PP360RFWRDJFR54XM,656,14
01HRVX0ZYXEDD8DZ6YHETCER0P,513,49
01HRVX11DHGVKMXR25QMT44DGC,862,47
01HRVX104AD669PPSTJMGGMGNP,674,14
01HRVX0VXTN0P6QNTSJ2YR80CD,478,49
01HRVX0VXK2QN1YGSSRN1K19M9,410,37
01HRVX0VXXAW6B3YT77MBRX1ZH,692,4
01HRVX0VYM3RB71FEN188RY3YX,749,15
01HRVX0VY93JBV1CBY4C2TK6CA,388,14
01HRVX0VXTZQYMWB7MJXZW18Z7,163,22
01HRVX106FJGF89G0Y2T70XPZX,944,10
01HRVX0VYC7RKW3YZ3FNVA7W18,425,48
01HRVX0VYDT5PS93GVM18WJV5B,397,32
01HRVX104GBES4PGQMRVXZTSWK,47,43
01HRVX104VWZ854NNNSSZKFSW7,318,47
01HRVX1019R8FP70G354636GK6,729,47
01HRVX10FYR3Z8G0R1XA1ZPHZQ,315,41
01HRVX10GACYYK1S27PZAJXE9F,923,1
01HRVX0ZZVE5WK1019QVNNHCBT,929,18
01HRVX0VZJ8SSNX3ACCR6G5BVW,613,45
01HRVX0VZ8GK55N1F7S8JW4GZK,608,5
01HRVX0VZKRJM6VFZA2VQA7TKH,610,13
01HRVX0VY7F0B06Z1DJVBBBYG3,703,20
01HRVX103GA6SEE3MXVM9EAMV3,475,40
01HRVX11DEEAVF46T076XRP2QA,403,5
01HRVX1050HQZSHQD3HF22B5Q1,789,5
01HRVX0VY5311GNWF58374XNWJ,241,31
01HRVX101G35S97WEJC4R8M34N,298,5
01HRVX107XGV2KHCAWTC6SCJW9,692,22
01HRVX106E2X1WSAV3C8FQZG75,580,46
01HRVX0VXMGM3N758P6BTC6EBD,148,50
01HRVX0ZZXZFV0W8NE96N6KMZY,289,22
01HRVX100MXP7032J5RDXAR02X,426,7
01HRVX104S2W8AM1P1C35CB606,365,22
01HRVX0ZYV058Y66KSXDK03NAR,409,32
01HRVX0VZ3B3R1JH5CTTCVNV2T,501,7
01HRVX0VYWGBQ3EV5MRV44ANBT,496,7
01HRVX0VXTZQYMWB7MJXZW18Z7,141,7
01HRVX0VYWPW5FTNSNNXHFK3DZ,493,32
01HRVX0W02BGD75VMAG9EAQMW8,912,35
01HRVX10207PG2C8YNNH53MWE7,702,49
01HRVX0VZKCZ4YK23SX56JDW1T,430,5
01HRVX0VXVDEH08QHPYQ2FD0XY,391,7
01HRVX0VXEQWEC7VE3DMV092D5,465,37
01HRVX10FTC0B7HHPBFD02KN4K,511,10
01HRVX100DKMS5EFFM717010SV,846,10
01HRVX0VZPT5REW1MV7M5H5Q1B,567,29
01HRVX107GZSWCPG0TEFWJT6HK,856,19
01HRVX1031776VZ1SV88YVF9XQ,808,5
01HRVX0VZTQFGCBHWZ4WZKEP85,407,49
01HRVX10FM1E7WT4TS0GRRXTK8,567,2
01HRVX0VZEDHHEKA3Z4CN7TG50,150,1
