order_id,customer_id,order_date,status_of_order
01HRVX0SX29QTZJM3TVWJYNBXY,01HRVWP9BXA4D3J70J1PQJ6ET6,08/12/2021,Cancelled
01HRVX0VHWJVY1BB7VGQ5D6WNE,01HRVWP99MPKDN6GDYYX4CV6AK,05/12/2020,Cancelled
01HRVX0VWY5P74PBMBGKSZ43BA,01HRVWP98PHQR8GMXESVZJ6RVD,09/01/2020,Cancelled
01HRVX0VWZ367TSWRRKMTXZZXE,01HRVWP95NYFVQCY37R3FKNRB0,09/06/2022,Cancelled
01HRVX0VX0XSPQRP0A2CBCSK68,01HRVWP9C4QGN2WD7F5HF4GXC3,06/05/2021,Processed
01HRVX0VX0K8RSG9VGDQVJ528X,01HRVWP9481HE0SNQKSWY023SQ,08/07/2022,Processed
01HRVX0VX13MCMCB61E191ZGJP,01HRVWP97MWFHNEW5QRJKQKABM,06/06/2020,Processed
01HRVX0VX2ZWVVBX9K2VY87EY7,01HRVWP9835YN8Y345GMZD2Z05,16/08/2020,Processed
01HRVX0VX3MQYGQNTDZR94W3AQ,01HRVWP9AKEB5EM7KRD4ZP0ZZZ,24/10/2021,Cancelled
01HRVX0VX47P4J35GKZRFC10B5,01HRVWP9CNMJ8VD598CNGYAE62,25/10/2023,Cancelled
01HRVX0VX5TBT5BABZGR6H6F41,01HRVWP95M32DKNNKSBCETC76B,05/12/2022,Processed
01HRVX0VX66MMQQPXT2ABSWN64,01HRVWP95JPSC6H5ZR3B0DA3Z5,14/12/2021,Cancelled
01HRVX0VX753HB7V6VWVQ05H6E,01HRVWP96EHXBEDESBHPKW3B0G,16/04/2020,Processed
01HRVX0VX8ZV1CNY3B19VFT1XV,01HRVWP97XGZC68KRHFHXZPM22,25/04/2022,Processed
01HRVX0VX9CPGDJ0DP476KWR2V,01HRVWP97Y7RJXN5AEWRY9QDF0,02/01/2023,Processed
01HRVX0VX96S2EM6KD58NQGCZJ,01HRVWP95J5EFGG9TSWVYX4WV2,12/12/2020,Cancelled
01HRVX0VXAPA1FR8D4EG2BFC4P,01HRVWP969G9AKTNTXFSV1WA4V,08/01/2021,Processed
01HRVX0VXB77AM136K3GQ145S3,01HRVWP95RVB7X9W9X2ZGEK54N,07/01/2021,Processed
01HRVX0VXCKVKQKCYRG9MN4N4G,01HRVWP9A98433TPQA1WWEXWP7,05/01/2023,Processed
01HRVX0VXDDJXW0T5PBVX88Q55,01HRVWP98AE4QY4SZ1KMSVDMXV,15/10/2021,Processed
01HRVX0VXE38SMDJ3P730CQA4D,01HRVWP9765ZEBG8956651T6BC,26/11/2023,Processed
01HRVX0VXFD5G1RNTG3DZP7FSM,01HRVWP9B0GBDDDWY5H4K6BZ35,19/10/2022,Cancelled
01HRVX0VXFYZ0DR6GQHCQQCVJZ,01HRVWP9AFK5T37KRAVFSG3FD3,26/05/2023,Cancelled
01HRVX0VXGJF06JXS0GNZ7BNQP,01HRVWP96BJRAD3E1CVB0YJ65J,30/07/2020,Processed
01HRVX0VXH7XBAN7S56RKT5YSV,01HRVWP97ZH9Z672055JSTXGWD,14/07/2020,Cancelled
01HRVX0VXJDQHYXJM7DWMGP73F,01HRVWP9C2F8XSXVQ6C9J95DHH,22/03/2020,Processed
01HRVX0VXKJY7480E8JT72TY9F,01HRVWP9B2MK0K78EK44N46RGA,27/05/2022,Cancelled
01HRVX0VXMRB29MWGCY8FZXTRC,01HRVWP98DX2GHK440TRE3H6QX,11/01/2020,Cancelled
01HRVX0VXMGM3N758P6BTC6EBD,01HRVWP94VC548X0X9PMV80XRP,14/08/2022,Processed
01HRVX0VXNE9C3EGMB8ZE9NBQJ,01HRVWP97TQVQ6RDJNG4MK8SB6,07/07/2022,Processed
01HRVX0VXPC0583A60RH3RNCVB,01HRVWP96GFP91NETX5EHXN5A3,10/10/2020,Cancelled
01HRVX0SWZPZRW3W501MGG2PCG,01HRVWP99HFW74STPHYM3WQFDA,31/07/2021,Cancelled
01HRVX0VJTMY0NRNTF6MYP0ED6,01HRVWP9718C1PKES3YJT1EZTC,05/11/2020,Processed
01HRVX0VXWR7KMH8F6PAEF518Z,01HRVWP96QYVVDP5P3HR5GF8NA,03/11/2021,Cancelled
01HRVX0VXXX4PB58HDHE2PREG5,01HRVWP9AC9Y2ZBXKC7HS9Y8S8,02/11/2023,Cancelled
