payment_id,customer_id,product_id,order_id,amount,payment_date,payment_type
01HR88GPZ1RH7Y8AQ2H8D1JZHH,01HR877T6DK2NEEGB34V79YGPM,330,01HR879PSQKJA0NE8T6KVGSDXB,833.37,22/07/2018,card
01HR88GRG06A7RZVQFXTXK5CS1,01HR877T510RM9Y0QB6KVYSGPH,733,01HR879PSGATK37Y3YHS2RPCWP,861.27,10/04/2013,cash
01HR88GRV0VH13XREK0B2F6TVM,01HR877T7CZJBF93V46ZZ8RS12,592,01HR879PRBRKKCPX3NJ9QZ61YJ,2000.0,21/07/2015,card
01HR88GRV24NQK2KC32EGZWQDQ,01HR877T6XHKWG5E0FWJKXPFM8,611,01HR879PSXCV8YHAC3VAHM48F2,144.52,06/12/2021,card
01HR88GRV30Q9TMZRK3ADEV92Q,01HR877T8MHDST7VR785A8X6V9,924,01HR879PRE6H6YPXWNQ5JCXWWJ,881.47,10/08/2010,cash
01HR88GRV5QDD5RYFXK98WYZKW,01HR877TAMRP5FXT7VXWDQ2Z82,367,01HR879PSDH5PZD3AF2YHWKKDJ,3.44,14/04/2019,card
01HR88GRV634NWP848PDZG7B8E,01HR877TAHCM4PJNM3XE5JHB8R,576,01HR879PQS53G3XW5AT7VT35V0,2000.0,03/06/2021,card
01HR88GRV8QGMACAMBPDBHW3RF,01HR877T4Y8DY1VASTQCKN2G1W,109,01HR879PSX3Z6AFFBEHE1HYCJJ,2000.0,29/01/2012,cash
01HR88GRV98PSZ2BPTKW18A929,01HR877T40CNBY5YPF5JSBVSWX,792,01HR879PR6S1Q5ZV3441APQB6A,1686.87,14/01/2019,card
01HR88GRVAT48XXNDY6W6CG6YF,01HR877T4C7D589A7N6HNJV9RR,858,01HR879PRXG6GJD6F882FNHAK9,706.88,17/11/2023,cash
01HR88GRVCEAQ3G165WA9A4YDH,01HR877T5SBXAP39300X80AFJM,886,01HR879PSR7XSHJGYJ8NCEP8WC,2000.0,17/07/2019,card
01HR88GRVDZKFH6MV0CJFAGP2B,01HR877T6CZCKDFGD1DHAYBJ46,921,01HR879PRSBMH0232T8NTFQ8PS,2000.0,10/01/2011,card
01HR88GRVFQRPSYAGT5M7MYRRS,01HR877T46E12QPQKZ3HAPCH0Z,573,01HR879PSHK7TDKRMFV1Z796KC,2000.0,27/10/2016,card
01HR88GRVGER28TX8NPKCE4PKJ,01HR877TA42EFPEXR33WMGHTJN,384,01HR879PT90DY4633G96AWX5MT,22.02,23/05/2016,cash
01HR88GRVJ13T58V46T1TC4EP3,01HR877T45KQ0J61M85QGZ6CA0,206,01HR879PTPJ30W4269SV5GXVGG,2000.0,24/08/2023,cash
01HR88GRVKGFXWE11B1Y2R6HE5,01HR877T9820YZT4YQ1WFMK1G5,239,01HR879PT0MS7DM59W1MA8J6MQ,1545.12,10/07/2012,card
01HR88GRVN9FHG479NK7BAVW4P,01HR877T5RWTVV1Q2DEDD9BVYW,415,01HR879PQFWCZ80GF8BASZNSFB,2000.0,10/04/2012,cash
01HR88GRVPAKKKWK5BHAW41RCP,01HR877T91DY9S3BVVX8P2RT2P,719,01HR879PRNJS603KFXJWTVTCTX,196.75,29/04/2017,cash
01HR88GRVR7W7NX9Y6R3T691BG,01HR877T28NXPVND2ZPT19VQCR,286,01HR879PQQH0A22PQPGXFTKVZ1,1237.81,30/11/2019,cash
01HR88GRVSQG2G4YZWB5031RTH,01HR877T8CHES1FE61TTRT58E7,915,01HR879PRBQ46JSQSJKDDW7T18,2000.0,09/09/2017,card
01HR88GRVVT5YXKS6C4GKFCPT4,01HR877T2N8EB49FEY1EX6PPPM,712,01HR879PREB5K2HH8PDZ217ED5,2000.0,26/08/2015,card
01HR88GRVWBPWWHNCZK116XD8E,01HR877T5MGEHAWSZ02CH9Y90B,80,01HR879PSEBF23XAX86483F6XK,1784.52,03/12/2021,card
01HR88GRVXBYXNBVTX0RDJV849,01HR877T7SG2X3YPC3EGN6WF9P,687,01HR879PV10749QZQJF9DF5DW2,980.64,08/10/2013,cash
01HR88GRVZ88NC2T7M3M3JM8C8,01HR877T9BKJD9K51B57AG2MR0,36,01HR879PTVYXTWB6NED0FNRBA9,2000.0,30/07/2015,cash
01HR88GRW0GGTDRSB1QYMMAYYF,01HR877T9RTD41FWJMC7GPM16E,413,01HR879PSGJQSZAX2WAKF1TN16,2000.0,16/08/2018,card
01HR88GRW291N8TS0M9AJYC6Q1,01HR877T3BV2ZVSS3E8CZAMDVT,342,01HR879PSAY9E0PD8ATESJ69H0,1405.53,29/08/2015,cash
01HR88GRW3KX8KQ14Z1EFF129R,01HR877T2ND6MK45VPJE18MVCM,894,01HR879PRNPNHFXER2195Y5AYY,2000.0,26/08/2020,card
01HR88GRW5NCG98GDYTZS9Y5QD,01HR877T30T7Q9PPZWW00JG1SA,225,01HR879PT5B4DB0B6MRN0CB736,2000.0,17/05/2015,card
01HR88GRW61NXWMH2YQRNWSTK7,01HR877T94F6C3D3P2M8MM173N,60,01HR879PTDMEMYRMEDA9YAMWVD,2000.0,06/04/2017,cash
