product_supplier_id,product_id,supplier_id,supplier_price,supply_date
01HR87CP43H6SMGWV2MGCN0E42,212,01HR539PPTVYC0VNX5YPB270J6,12.07,09/07/2011
01HR87CPSSJ5HMXB0D77VG58TT,923,01HR539PPVRG6ASBGCV0JD3M7E,500.27,24/01/2020
01HR87CPZAY6WEKRDXPBX26H1H,60,01HR539PR3VY00NZCPSAGW5AM6,38.61,27/05/2012
01HR87CPZA6PGY4BREJ7G3GPM6,296,01HR539PR47YHVGQXQ91BXDMHJ,474.73,23/01/2017
01HR87CPZBHD6B3X5REKXRY9ZT,271,01HR539PQW79Y0W654FJF12ZTR,651.74,30/12/2012
01HR87CPZBMYQ044ST1HMSB8NK,615,01HR539PR4MJZKBJVRVBPSMW6Y,665.74,18/06/2018
01HR87CPZCSBKV2TBQ4VJM370H,318,01HR539PS0Z4SHMPHFAEAN11XV,985.82,20/06/2016
01HR87CPZC1H7P7WMK6P7T00F8,338,01HR539PRB1V4BEMRBHWAKENYQ,424.25,07/03/2011
01HR87CPZDYW7KQ0WXPMNK2H04,611,01HR539PRQ4PH9DNPC5YXRM7PT,938.78,26/02/2016
01HR87CPZDR1A7SZXJJAZQT714,863,01HR539PRTZYECAH1MKXYRJ0PW,261.83,02/01/2019
01HR87CPZE4DATDFRMHJP1BPWK,281,01HR539PQC57V612AZW27B2ZGT,958.73,08/03/2019
01HR87CPZF6PTKSTSM0K2FAETM,639,01HR539PS2FAE68FY8TH172T5X,89.74,07/06/2010
01HR87CPZFJNTXEE19RV7379VY,308,01HR539N0XAKZ0ZH0WM9CFHX65,699.68,12/02/2016
01HR87CPZGY93B88D0NPSV2DYG,633,01HR539PQK8W786N1WQVX6CXX7,824.2,01/01/2011
01HR87CPZG0C60M2GFFZVQJTYQ,599,01HR539PJ8Z19BJ6JWRA6EF7FT,804.33,12/02/2018
01HR87CPZHBBF45DWDJDNCZP1K,141,01HR539PRQKKYDX58HYPXMR3CV,935.34,01/08/2016
01HR87CPZHCKKHP34MT42TRXJF,654,01HR539PQG21TM1K9YQ9VSBVTQ,22.04,02/09/2022
01HR87CPZJ31HA643QNWZ0VJQ5,389,01HR539PR72MS205KYV27KBGBZ,841.1,08/07/2023
01HR87CPZJPA5FK27G22HKZXBT,613,01HR539PQW4YQ2RE67XQ0YM0JX,269.29,06/04/2013
01HR87CPZKKV1B062Z76JDHZ6D,204,01HR539PS9F78ZQNJSBX1RA7XA,337.74,30/01/2022
01HR87CPZK9292S3M3TKDFS34V,225,01HR539PQF746QVB1X0DAAS1C0,277.88,11/08/2011
01HR87CPZMNM22PEHXV28B2FPV,9,01HR539PPW41A3F938ASX9P94T,822.34,05/01/2018
01HR87CPZMS49CPJ014208AG9R,832,01HR539PQ22RGK1CHBRC0ENM1J,78.1,25/06/2018
01HR87CPZNBQZDFC564M06Q22T,655,01HR539PQGKB31J1WRG5QB5VBK,933.71,11/04/2023
01HR87CPZNKMH5VEQSSGEFP32Q,694,01HR539PRKBJD66PZY1R2277RY,184.71,06/07/2015
01HR87CPZP6SHHPNRHSJ3RVWT6,791,01HR539PQTYHNWQBVYQZ46M9QP,916.74,16/04/2013
01HR87CPZP3HFRGPXG3DASKTH4,442,01HR539PR89HBE4TRBDR8SKE0F,789.23,03/02/2017
01HR87CPZQE58ADG2C33AFGXG9,688,01HR539PQPPJ06XVDJAMG29JW6,952.8,19/08/2010
01HR87CPZRM09MF5AJMK96T0AP,679,01HR539PQGCZ1M9HGQF1NHPH5M,660.82,23/11/2011
01HR87CPZRGD3KT09Y84067Y4Y,248,01HR539PRERBK3FDR6CYAB9JA9,617.35,18/05/2020
01HR87CPZSJSPN4GPESRTWYC2R,938,01HR539PSAW12F6F5XQQZRJN1H,242.58,23/05/2010
01HR87CP45M23GP7CFGHSBZPSP,690,01HR539PPSQ1SDCAY9BPNFFG4F,816.16,07/04/2018
01HR87CPSVK1GQ8M86MRNVY9ZR,266,01HR539PP8GNQFPMF4J96ZWJ76,707.82,23/08/2021
