supplier_id,supplier_name,supplier_contact,email,unit,floor,block,street,city,country,zip_code
f534bc6d-5cc0-4a94-9fc1-a63f0932352d,"Black, Davison and Kelly",+44 352 828 7651,zevans@yahoo.com,53,36,R022,Hugh common,Andreaburgh,UK,N7J 9WB
ef195375-22d4-4d25-9f87-8c2646a58ab0,"Fowler, Campbell and Lynch",+44 006 682 7085,emmastevens@gmail.com,234,5,A694,Thornton gateway,North Gary,UK,ZE48 4YD
6b5a23fa-3eba-4f0c-9372-792b85250598,Dean PLC,+44 865 802 5399,normanlaw@yahoo.com,44,11,K404,Trevor field,Georgebury,UK,ST4 8NL
6d154a45-8af0-45ab-8494-b62f31b6f462,"Phillips, Holt and Evans",+44 903 601 0210,allendanny@outlook.com,338,49,Y807,Jones mountain,South Peter,UK,FK0M 4XZ
1e98fe7d-8d3f-4cf2-83a5-97a409f4fde1,Williamson PLC,+44 929 530 2692,helentucker@outlook.com,0,14,V005,Allen pike,North Martynview,UK,HG5R 3NY
35aa5af4-36cb-4ff2-bc58-31feb90dc66f,"Barnes, Saunders and Thomas",+44 971 341 6151,winterkimberley@johnson.net,98,30,N613,Sheila crossing,Lake Denise,UK,S1 8XP
50416b4d-742c-48a2-b4d7-e714293b50d3,Jones and Sons,+44 476 635 8077,wallacecarolyn@gardner.com,99,20,W838,Lowe rue,Lake Billy,UK,B4B 9HE
ed7056dc-03b6-4a06-8128-c98f295e8cec,Hammond Inc,+44 286 133 6853,frankmason@outlook.com,10,33,J292,Robertson groves,New Dominicstad,UK,E53 0LQ
9d622480-c035-4396-9f67-8a6a151eeddb,"Watson, Sutton and Hall",+44 174 877 6701,wbutcher@yahoo.co.uk,6,43,T862,Phillip islands,Cunninghamchester,UK,TF9V 6UY
c2ec5ca3-52d7-4f7e-92c5-3d098fee0746,O'Brien-Ellis,+44 700 816 2699,iaincarpenter@hotmail.co.uk,67,21,L472,Brian inlet,North Francisbury,UK,N22 5QW
178d461d-e2b0-456b-8e5a-b878b0a89552,Williams LLC,+44 715 870 6105,jonescharles@yahoo.com,0,32,P462,Ford parkways,South Ritafurt,UK,RH9 6XX
